symbol,acciones
MMM,550499968
AOS,150879008
ABT,1737949952
ABBV,1769400064
ACN,630248000
ATVI,784273984
ADM,548009024
ADBE,457800000
ADP,414352000
AAP,59253700
AES,667950016
AFL,615256000
A,295860000
APD,222083008
AKAM,156000000
ALK,127542000
ALB,117198000
ARE,173087008
ALGN,77300000
ALLE,87867400
LNT,251135008
ALL,263330000
GOOGL,12821699584
GOOG,12790200320
MO,1785529984
AMZN,10247300096
AMCR,1485779968
AMD,1612359936
AEE,262028992
AAL,651430976
AEP,513865984
AXP,744193024
AIG,737246976
AMT,465646016
AWK,181859008
AMP,105300000
ABC,202258000
AME,230094000
AMGN,533976000
APH,594604992
ADI,505852992
ANSS,87085904
AON,205142000
APA,310952992
AAPL,15821899776
AMAT,845118016
APTV,270950016
ACGL,370345984
ANET,307300000
AJG,212094000
AIZ,52919700
T,7129869824
ATO,143163008
ADSK,215767008
AZO,18765700
AVB,139896992
AVY,80824896
BKR,1018220032
BALL,314424992
BAC,8003840000
BBWI,228415008
BAX,504672000
BDX,283902016
WRB,264546000
BRK-B,2208329984
BBY,221264000
BIO,28737800
TECH,157275008
BIIB,144486000
BLK,149756000
BK,808444992
BA,598240000
BKNG,37863000
BWA,234131008
BXP,156758000
BSX,1432310016
BMY,2098780032
AVGO,416924000
BR,117693000
BRO,283200000
BF-B,479488000
CHRW,116510000
CDNS,272940000
CZR,215180992
CPT,108536000
CPB,299468000
COF,381300000
CAH,257639008
KMX,160934000
CCL,1299619968
CARR,834188032
CTLT,180090000
CAT,516345984
CBOE,105743000
CBRE,315948992
CDW,135391008
CE,108428000
CNC,551265024
CNP,629788992
CDAY,153856992
CF,195768000
CRL,50985500
SCHW,1866739968
CHTR,152651008
CVX,1906669952
CMG,27621800
CB,414595008
CHD,244040992
CI,297076000
CINF,157100000
CTAS,101620000
CSCO,4095820032
C,1936850048
CFG,484105984
CLX,123525000
CME,359728000
CMS,291264000
KO,4326689792
CTSH,509295008
CL,830379008
CMCSA,4216059904
CMA,131353000
CAG,476622016
COP,1218780032
ED,355044992
STZ,184551008
CEG,327131008
COO,49425300
CPRT,476300000
